City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Codrington,-38.27,141.97,54.25,74,26,11.36,AU,2020-09-06 00:09:25
117,Victoria,22.29,114.16,82.0,78,17,5.77,HK,2020-09-06 00:06:34
118,Ponta Do Sol,32.67,-17.1,73.4,78,40,16.11,PT,2020-09-06 00:09:16
119,Pangnirtung,66.15,-65.71,44.56,58,0,3.31,CA,2020-09-06 00:12:07
120,Kabare,-2.47,28.82,66.97,62,75,2.13,CD,2020-09-06 00:12:07
121,Rundu,-17.93,19.77,59.11,33,0,5.39,NA,2020-09-06 00:12:07
122,Bouna,9.27,-3.0,72.63,90,100,8.01,CI,2020-09-06 00:12:07
123,Richards Bay,-28.78,32.04,63.07,85,9,3.69,ZA,2020-09-06 00:10:02
124,Talnakh,69.49,88.4,35.6,66,0,11.18,RU,2020-09-06 00:09:57
125,Raudeberg,61.99,5.14,48.99,95,100,15.39,NO,2020-09-06 00:09:29
126,Carnarvon,-24.87,113.63,64.4,93,90,5.82,AU,2020-09-06 00:05:27
127,Sioux Lookout,50.1,-91.92,62.6,51,75,8.05,CA,2020-09-06 00:12:08
128,Clyde River,70.47,-68.59,35.6,80,20,13.87,CA,2020-09-06 00:12:08
129,Pucallpa,-8.38,-74.55,87.8,62,20,2.24,PE,2020-09-06 00:12:08
130,Kavieng,-2.57,150.8,84.4,76,38,12.84,PG,2020-09-06 00:09:16
131,Flinders,-34.58,150.86,64.0,76,64,5.99,AU,2020-09-06 00:10:58
132,Comodoro Rivadavia,-45.87,-67.5,51.8,53,52,6.93,AR,2020-09-06 00:07:22
133,Valga,57.78,26.05,55.4,93,86,9.17,EE,2020-09-06 00:12:09
134,Bluff,-46.6,168.33,45.0,72,89,11.01,NZ,2020-09-06 00:09:17
135,Araouane,18.9,-3.53,97.59,29,63,6.06,ML,2020-09-06 00:12:09
136,Polczyn-Zdroj,53.76,16.1,52.0,10,65,8.84,PL,2020-09-06 00:12:09
137,Khatanga,71.97,102.5,37.72,78,1,6.64,RU,2020-09-06 00:09:42
138,Roblin,51.23,-101.36,66.92,57,100,5.35,CA,2020-09-06 00:12:10
139,Cayenne,4.93,-52.33,77.0,100,34,3.36,GF,2020-09-06 00:09:30
140,Shahrud,36.42,54.98,60.48,54,7,3.04,IR,2020-09-06 00:12:10
141,Mount Gambier,-37.83,140.77,50.0,81,47,10.29,AU,2020-09-06 00:10:33
142,Provideniya,64.38,-173.3,45.28,65,98,5.06,RU,2020-09-06 00:09:09
143,Constitucion,-35.33,-72.42,50.49,83,9,4.07,CL,2020-09-06 00:12:10
144,Luderitz,-26.65,15.16,58.1,70,0,25.55,NA,2020-09-06 00:09:56
145,Saint-Joseph,-21.37,55.62,64.4,88,90,3.36,RE,2020-09-06 00:09:31
146,Jamestown,42.1,-79.24,61.0,82,75,9.17,US,2020-09-06 00:06:45
147,Hasaki,35.73,140.83,80.6,88,75,11.41,JP,2020-09-06 00:08:56
148,Rocha,-34.48,-54.33,43.47,84,1,5.66,UY,2020-09-06 00:10:03
149,Saint Anthony,45.02,-93.22,77.0,38,1,5.82,US,2020-09-06 00:09:36
150,Itarema,-2.92,-39.92,78.37,74,27,18.66,BR,2020-09-06 00:09:15
151,Lompoc,34.64,-120.46,87.8,47,1,11.41,US,2020-09-06 00:10:20
152,Naze,28.37,129.48,80.6,94,75,49.44,JP,2020-09-06 00:12:12
153,Norman Wells,65.28,-126.83,57.2,44,40,4.7,CA,2020-09-06 00:12:12
154,Mersing,2.43,103.84,73.4,100,92,2.24,MY,2020-09-06 00:12:12
155,Takaka,-40.85,172.8,57.0,92,96,18.01,NZ,2020-09-06 00:12:12
156,Karatuzskoye,53.61,92.87,42.06,84,38,2.21,RU,2020-09-06 00:12:12
157,Mount Isa,-20.73,139.5,80.6,26,0,11.41,AU,2020-09-06 00:09:23
158,Saint-Philippe,-21.36,55.77,64.4,88,90,3.36,RE,2020-09-06 00:09:03
159,Faanui,-16.48,-151.75,78.33,77,19,10.22,PF,2020-09-06 00:09:05
160,Santa Cruz De La Palma,28.68,-17.76,71.6,68,0,4.7,ES,2020-09-06 00:12:13
161,Thompson,55.74,-97.86,60.8,48,75,3.36,CA,2020-09-06 00:09:19
162,Viedma,-40.81,-63.0,45.0,80,27,3.0,AR,2020-09-06 00:12:13
163,Tuktoyaktuk,69.45,-133.04,37.4,71,90,8.05,CA,2020-09-06 00:08:57
164,Vitim,59.45,112.56,59.7,76,23,3.8,RU,2020-09-06 00:12:14
165,Nikolskoye,59.7,30.79,59.0,82,20,4.47,RU,2020-09-06 00:09:10
166,Myitkyina,25.38,97.4,74.21,96,97,1.77,MM,2020-09-06 00:12:14
167,Puerto Barrios,15.72,-88.6,84.2,74,40,6.93,GT,2020-09-06 00:12:14
168,Isangel,-19.55,169.27,74.35,70,19,19.22,VU,2020-09-06 00:10:24
169,Nehe,48.48,124.83,60.55,85,61,7.99,CN,2020-09-06 00:12:15
170,Tocopilla,-22.09,-70.2,61.74,62,21,11.86,CL,2020-09-06 00:12:15
171,Cabo San Lucas,22.89,-109.91,91.4,62,20,4.7,MX,2020-09-06 00:09:00
172,Dunedin,-45.87,170.5,57.99,52,100,8.99,NZ,2020-09-06 00:12:15
173,Port Alfred,-33.59,26.89,61.09,88,100,8.39,ZA,2020-09-06 00:09:06
174,Labrea,-7.26,-64.8,82.76,57,43,1.54,BR,2020-09-06 00:12:16
175,Alofi,-19.06,-169.92,77.0,50,19,18.34,NU,2020-09-06 00:09:22
176,Shibukawa,36.48,139.0,77.0,85,96,3.0,JP,2020-09-06 00:12:16
177,Narsaq,60.92,-46.05,44.6,93,100,4.7,GL,2020-09-06 00:09:17
178,Kiruna,67.86,20.23,48.2,93,100,1.95,SE,2020-09-06 00:12:17
179,Camacha,33.08,-16.33,71.6,78,40,13.87,PT,2020-09-06 00:09:39
180,Grindavik,63.84,-22.43,48.2,93,90,18.34,IS,2020-09-06 00:09:19
181,Cockburn Town,21.46,-71.14,82.4,78,40,11.41,TC,2020-09-06 00:05:01
182,Pindushi,62.92,34.58,54.23,94,91,6.35,RU,2020-09-06 00:10:16
183,Inhambane,-23.86,35.38,68.18,67,86,10.18,MZ,2020-09-06 00:12:17
184,Tiksi,71.69,128.87,42.73,89,100,11.86,RU,2020-09-06 00:10:00
185,Karaman,37.08,33.25,54.61,79,0,6.44,TR,2020-09-06 00:12:19
186,Bandarbeyla,9.49,50.81,75.88,78,87,24.0,SO,2020-09-06 00:12:19
187,Nishihara,26.18,127.76,78.8,100,90,28.86,JP,2020-09-06 00:10:10
188,Crib Point,-38.35,145.2,60.01,72,0,10.63,AU,2020-09-06 00:12:19
189,Tsuyama,35.05,134.0,84.99,83,40,10.29,JP,2020-09-06 00:12:20
190,Westport,41.14,-73.36,77.0,41,1,8.05,US,2020-09-06 00:12:20
191,Alice Springs,-23.7,133.88,75.0,14,0,12.75,AU,2020-09-06 00:08:18
192,Zemio,5.03,25.14,68.58,96,100,2.89,CF,2020-09-06 00:12:20
193,Kahului,20.89,-156.47,91.4,41,1,29.97,US,2020-09-06 00:07:52
194,Maningrida,-12.07,134.27,81.0,50,97,12.53,AU,2020-09-06 00:12:20
195,Salalah,17.02,54.09,78.8,88,75,4.7,OM,2020-09-06 00:09:07
196,Cidreira,-30.18,-50.21,58.64,94,100,19.98,BR,2020-09-06 00:10:22
197,Severo-Kurilsk,50.68,156.12,54.32,79,100,4.47,RU,2020-09-06 00:09:10
198,Nkhotakota,-12.93,34.3,67.6,67,0,15.19,MW,2020-09-06 00:12:21
199,San Andres,12.58,-81.7,86.0,70,40,4.7,CO,2020-09-06 00:08:24
200,Dingle,11.0,122.67,82.18,79,88,3.31,PH,2020-09-06 00:09:50
201,Gigmoto,13.78,124.39,85.33,75,70,6.91,PH,2020-09-06 00:12:21
202,Muisne,0.6,-80.03,77.0,83,75,10.29,EC,2020-09-06 00:12:22
203,Drumnadrochit,57.33,-4.48,48.2,87,78,8.05,GB,2020-09-06 00:12:22
204,Saint George,37.1,-113.58,109.4,4,1,13.87,US,2020-09-06 00:09:34
205,Orlik,52.52,99.83,41.67,75,83,2.33,RU,2020-09-06 00:12:22
206,Ilulissat,69.22,-51.1,39.2,75,100,3.36,GL,2020-09-06 00:10:04
207,Baykit,61.67,96.37,46.83,85,100,4.72,RU,2020-09-06 00:10:14
208,Porto Novo,6.5,2.6,78.8,83,40,12.75,BJ,2020-09-06 00:12:22
209,Cherskiy,68.75,161.3,50.68,47,0,13.78,RU,2020-09-06 00:09:17
210,Ferrol,43.48,-8.24,64.4,77,90,11.41,ES,2020-09-06 00:12:23
211,Golden,39.76,-105.22,98.6,9,40,10.29,US,2020-09-06 00:10:01
212,Sarkikaraagac,38.08,31.37,55.81,82,0,4.05,TR,2020-09-06 00:12:23
213,Marsh Harbour,26.54,-77.06,83.8,73,81,12.59,BS,2020-09-06 00:12:23
214,Coquimbo,-29.95,-71.34,55.4,76,0,8.05,CL,2020-09-06 00:12:23
215,Biak,-0.91,122.88,80.2,73,97,7.49,ID,2020-09-06 00:09:05
216,Airai,-8.93,125.41,68.86,41,47,5.48,TL,2020-09-06 00:09:57
217,Port Hardy,50.7,-127.42,60.8,87,75,9.17,CA,2020-09-06 00:12:24
218,Pacific Grove,36.62,-121.92,90.0,53,1,3.36,US,2020-09-06 00:12:24
219,Iqaluit,63.75,-68.51,51.8,53,20,10.29,CA,2020-09-06 00:09:47
220,Tadine,-21.55,167.88,73.44,64,3,17.09,NC,2020-09-06 00:12:24
221,Tianpeng,30.99,103.94,73.99,100,20,4.47,CN,2020-09-06 00:12:25
222,Hovd,48.01,91.64,49.89,44,0,4.54,MN,2020-09-06 00:12:25
223,Sidrolandia,-20.93,-54.96,86.0,25,57,6.93,BR,2020-09-06 00:12:25
224,Plettenberg Bay,-34.05,23.37,57.02,83,95,6.82,ZA,2020-09-06 00:12:25
225,San Lawrenz,36.06,14.2,77.0,78,20,9.17,MT,2020-09-06 00:12:26
226,Katsuura,35.13,140.3,82.0,94,75,8.05,JP,2020-09-06 00:12:26
227,Komsomolskiy,40.43,71.72,68.0,42,0,6.93,UZ,2020-09-06 00:09:32
228,Ocos,14.51,-92.19,77.0,100,90,4.7,GT,2020-09-06 00:12:26
229,Portland,45.52,-122.68,77.0,43,20,3.36,US,2020-09-06 00:07:00
230,Tambopata,-12.73,-69.18,83.48,50,62,0.58,PE,2020-09-06 00:12:26
231,Konza,-1.74,37.13,60.8,93,75,5.82,KE,2020-09-06 00:12:27
232,Khobi,42.32,41.9,73.4,100,75,3.36,GE,2020-09-06 00:12:27
233,Filingue,14.35,3.32,80.37,70,97,8.86,NE,2020-09-06 00:12:27
234,Matara,5.95,80.54,77.23,89,94,5.99,LK,2020-09-06 00:11:13
235,Sitka,57.05,-135.33,57.2,71,75,6.93,US,2020-09-06 00:09:36
236,Puerto Ayora,-0.74,-90.35,66.99,93,81,5.01,EC,2020-09-06 00:09:14
237,Ambovombe,-25.17,46.08,63.45,76,23,16.26,MG,2020-09-06 00:12:28
238,Savannah Bight,16.45,-85.85,84.54,77,68,21.41,HN,2020-09-06 00:12:28
239,Moose Factory,51.26,-80.61,55.4,82,75,5.82,CA,2020-09-06 00:12:28
240,Souillac,-20.52,57.52,68.0,94,40,4.7,MU,2020-09-06 00:10:19
241,Malinovoye Ozero,51.68,79.78,44.29,64,92,1.59,RU,2020-09-06 00:12:28
242,Perm,58.02,56.29,41.0,100,0,4.47,RU,2020-09-06 00:12:29
243,Sirjan,29.45,55.68,62.17,29,0,3.62,IR,2020-09-06 00:12:29
244,Bengkulu,-3.8,102.27,74.79,88,97,4.5,ID,2020-09-06 00:12:29
245,Sibolga,1.74,98.78,77.22,69,81,4.97,ID,2020-09-06 00:12:29
246,Nanortalik,60.14,-45.24,47.64,94,100,9.66,GL,2020-09-06 00:09:49
247,Patacamaya,-17.23,-67.92,47.43,63,73,12.97,BO,2020-09-06 00:12:30
248,Obihiro,42.92,143.2,66.2,100,75,1.12,JP,2020-09-06 00:12:30
249,Teahupoo,-17.83,-149.27,84.2,66,40,18.34,PF,2020-09-06 00:12:30
250,Novo Aripuana,-5.12,-60.38,82.18,36,46,1.39,BR,2020-09-06 00:12:30
251,Blieskastel,49.24,7.26,55.4,82,20,4.7,DE,2020-09-06 00:12:30
252,Attur,11.6,78.62,76.8,86,83,1.43,IN,2020-09-06 00:12:31
253,San Jeronimo,-11.95,-75.28,54.43,59,81,5.08,PE,2020-09-06 00:12:31
254,Isla Vista,34.41,-119.86,102.99,48,1,4.7,US,2020-09-06 00:12:31
255,Nuuk,64.18,-51.72,46.4,93,100,25.28,GL,2020-09-06 00:12:31
256,Vanimo,-2.67,141.3,82.53,69,94,9.13,PG,2020-09-06 00:12:32
257,Ahipara,-35.17,173.17,59.07,67,100,13.04,NZ,2020-09-06 00:12:32
258,Ust-Kuyga,70.02,135.6,53.35,67,91,3.02,RU,2020-09-06 00:12:32
259,Geraldton,-28.77,114.6,57.2,93,75,6.93,AU,2020-09-06 00:05:02
260,Sao Joao Da Barra,-21.64,-41.05,72.86,87,0,15.32,BR,2020-09-06 00:09:16
261,Saint Pete Beach,27.73,-82.74,86.0,79,40,5.82,US,2020-09-06 00:12:32
262,Kungurtug,50.6,97.52,40.93,79,62,0.89,RU,2020-09-06 00:12:32
263,Nouadhibou,20.93,-17.03,84.2,62,20,24.16,MR,2020-09-06 00:12:33
